Anys_Periode;Codi_Districte;Nom_Districte;Codi_Barri;Nom_Barri;Esp vida Homes;Esp vida Dones
2009-2013;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;797;873
2009-2013;10;Sant Martí;70;el Besòs i el Maresme;798;866
2009-2013;10;Sant Martí;71;Provençals del Poblenou;801;863
2009-2013;10;Sant Martí;72;Sant Martí de Provençals;805;864
2009-2013;10;Sant Martí;73;la Verneda i la Pau;805;881
2010-2014;1;Ciutat Vella;1;el Raval;765;853
2010-2014;1;Ciutat Vella;2;el Barri Gòtic;787;844
2010-2014;1;Ciutat Vella;3;la Barceloneta;759;847
2010-2014;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;783;853
2010-2014;2;Eixample;5;el Fort Pienc;814;867
2010-2014;2;Eixample;6;la Sagrada Família;813;872
2010-2014;2;Eixample;7;la Dreta de l'Eixample;801;851
2010-2014;2;Eixample;8;l'Antiga Esquerra de l'Eixample;808;869
2010-2014;2;Eixample;9;la Nova Esquerra de l'Eixample;81;887
2010-2014;2;Eixample;10;Sant Antoni;798;876
2010-2014;3;Sants-Montjuïc;11;el Poble Sec;788;864
2010-2014;3;Sants-Montjuïc;13;la Marina de Port;80;877
2010-2014;3;Sants-Montjuïc;14;la Font de la Guatlla;788;843
2010-2014;3;Sants-Montjuïc;15;Hostafrancs;798;874
2010-2014;3;Sants-Montjuïc;16;la Bordeta;809;863
2010-2014;3;Sants-Montjuïc;17;Sants - Badal;82;877
2010-2014;3;Sants-Montjuïc;18;Sants;816;861
2010-2014;4;Les Corts;19;les Corts;824;881
2010-2014;4;Les Corts;20;la Maternitat i Sant Ramon;835;89
2010-2014;4;Les Corts;21;Pedralbes;836;884
2010-2014;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;79;822
2010-2014;5;Sarrià-Sant Gervasi;23;Sarrià;817;869
2010-2014;5;Sarrià-Sant Gervasi;24;les Tres Torres;839;881
2010-2014;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;825;868
2010-2014;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;819;869
2010-2014;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;825;879
2010-2014;6;Gràcia;28;Vallcarca i els Penitents;809;863
2010-2014;6;Gràcia;29;el Coll;814;886
2010-2014;6;Gràcia;30;la Salut;789;857
2010-2014;6;Gràcia;31;la Vila de Gràcia;799;861
2010-2014;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;814;874
2010-2014;7;Horta-Guinardó;33;el Baix Guinardó;81;868
2010-2014;7;Horta-Guinardó;34;Can Baró;811;866
2010-2014;7;Horta-Guinardó;35;el Guinardó;802;883
2010-2014;7;Horta-Guinardó;36;la Font d'en Fargues;808;858
2010-2014;7;Horta-Guinardó;37;el Carmel;794;881
2010-2014;7;Horta-Guinardó;38;la Teixonera;804;873
2010-2014;7;Horta-Guinardó;39;Sant Genís dels Agudells;815;855
2010-2014;7;Horta-Guinardó;40;Montbau;775;839
2010-2014;7;Horta-Guinardó;41;la Vall d'Hebron;80;865
2010-2014;7;Horta-Guinardó;43;Horta;807;86
2010-2014;8;Nou Barris;44;Vilapicina i la Torre Llobeta;798;87
2010-2014;8;Nou Barris;45;Porta;81;877
2010-2014;8;Nou Barris;46;el Turó de la Peira;813;898
2010-2014;8;Nou Barris;47;Can Peguera;75;851
2010-2014;8;Nou Barris;48;la Guineueta;81;87
2010-2014;8;Nou Barris;49;Canyelles;797;865
2010-2014;8;Nou Barris;50;les Roquetes;776;865
2010-2014;8;Nou Barris;51;Verdun;777;89
2010-2014;8;Nou Barris;52;la Prosperitat;804;884
2010-2014;8;Nou Barris;53;la Trinitat Nova;766;833
2010-2014;8;Nou Barris;54;Torre Baró;713;848
2010-2014;8;Nou Barris;55;Ciutat Meridiana;793;882
2010-2014;8;Nou Barris;56;Vallbona;76;784
2010-2014;9;Sant Andreu;57;la Trinitat Vella;808;895
2010-2014;9;Sant Andreu;58;Baró de Viver;746;857
2010-2014;9;Sant Andreu;59;el Bon Pastor;781;868
2010-2014;9;Sant Andreu;60;Sant Andreu;812;878
2010-2014;9;Sant Andreu;61;la Sagrera;822;882
2010-2014;9;Sant Andreu;62;el Congrés i els Indians;803;889
2010-2014;9;Sant Andreu;63;Navas;823;896
2010-2014;10;Sant Martí;64;el Camp de l'Arpa del Clot;819;875
2010-2014;10;Sant Martí;65;el Clot;813;886
2010-2014;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;805;856
2010-2014;10;Sant Martí;67;la Vila Olímpica del Poblenou;827;875
2010-2014;10;Sant Martí;68;el Poblenou;795;871
2010-2014;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;822;881
2010-2014;10;Sant Martí;70;el Besòs i el Maresme;796;864
2010-2014;10;Sant Martí;71;Provençals del Poblenou;815;884
2010-2014;10;Sant Martí;72;Sant Martí de Provençals;802;872
2010-2014;10;Sant Martí;73;la Verneda i la Pau;806;87
2011-2015;1;Ciutat Vella;1;el Raval;768;856
2011-2015;1;Ciutat Vella;2;el Barri Gòtic;788;85
2011-2015;1;Ciutat Vella;3;la Barceloneta;761;847
2011-2015;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;787;864
2011-2015;2;Eixample;5;el Fort Pienc;822;864
2011-2015;2;Eixample;6;la Sagrada Família;811;873
2011-2015;2;Eixample;7;la Dreta de l'Eixample;806;856
2011-2015;2;Eixample;8;l'Antiga Esquerra de l'Eixample;81;871
2011-2015;2;Eixample;9;la Nova Esquerra de l'Eixample;813;886
2011-2015;2;Eixample;10;Sant Antoni;808;878
2011-2015;3;Sants-Montjuïc;11;el Poble Sec;791;863
2011-2015;3;Sants-Montjuïc;13;la Marina de Port;801;876
2011-2015;3;Sants-Montjuïc;14;la Font de la Guatlla;789;845
2011-2015;3;Sants-Montjuïc;15;Hostafrancs;804;869
2011-2015;3;Sants-Montjuïc;16;la Bordeta;805;865
2011-2015;3;Sants-Montjuïc;17;Sants - Badal;82;878
2011-2015;3;Sants-Montjuïc;18;Sants;821;862
2011-2015;4;Les Corts;19;les Corts;832;881
2011-2015;4;Les Corts;20;la Maternitat i Sant Ramon;839;892
2011-2015;4;Les Corts;21;Pedralbes;839;892
2011-2015;5;Sarrià-Sant Gervasi;22;Vallvidrera, el Tibidabo i les Planes;778;814
2011-2015;5;Sarrià-Sant Gervasi;23;Sarrià;817;866
2011-2015;5;Sarrià-Sant Gervasi;24;les Tres Torres;846;88
2011-2015;5;Sarrià-Sant Gervasi;25;Sant Gervasi - la Bonanova;824;867
2011-2015;5;Sarrià-Sant Gervasi;26;Sant Gervasi - Galvany;826;871
2011-2015;5;Sarrià-Sant Gervasi;27;el Putxet i el Farró;825;882
2011-2015;6;Gràcia;28;Vallcarca i els Penitents;816;863
2011-2015;6;Gràcia;29;el Coll;824;882
2011-2015;6;Gràcia;30;la Salut;787;855
2011-2015;6;Gràcia;31;la Vila de Gràcia;80;864
2011-2015;6;Gràcia;32;el Camp d'en Grassot i Gràcia Nova;815;872
2011-2015;7;Horta-Guinardó;33;el Baix Guinardó;812;864
2011-2015;7;Horta-Guinardó;34;Can Baró;815;865
2011-2015;7;Horta-Guinardó;35;el Guinardó;808;883
2011-2015;7;Horta-Guinardó;36;la Font d'en Fargues;813;859
2011-2015;7;Horta-Guinardó;37;el Carmel;80;88
2011-2015;7;Horta-Guinardó;38;la Teixonera;802;873
2011-2015;7;Horta-Guinardó;39;Sant Genís dels Agudells;811;847
2011-2015;7;Horta-Guinardó;40;Montbau;776;844
2011-2015;7;Horta-Guinardó;41;la Vall d'Hebron;814;875
2011-2015;7;Horta-Guinardó;43;Horta;813;864
2011-2015;8;Nou Barris;44;Vilapicina i la Torre Llobeta;80;873
2011-2015;8;Nou Barris;45;Porta;814;874
2011-2015;8;Nou Barris;46;el Turó de la Peira;813;901
2011-2015;8;Nou Barris;48;la Guineueta;808;873
2011-2015;8;Nou Barris;49;Canyelles;796;86
2011-2015;8;Nou Barris;50;les Roquetes;781;869
2011-2015;8;Nou Barris;51;Verdun;791;886
2011-2015;8;Nou Barris;52;la Prosperitat;81;886
2011-2015;8;Nou Barris;53;la Trinitat Nova;763;834
2011-2015;8;Nou Barris;55;Ciutat Meridiana;795;90
2011-2015;9;Sant Andreu;57;la Trinitat Vella;804;91
2011-2015;9;Sant Andreu;59;el Bon Pastor;779;871
2011-2015;9;Sant Andreu;60;Sant Andreu;817;877
2011-2015;9;Sant Andreu;61;la Sagrera;82;879
2011-2015;9;Sant Andreu;62;el Congrés i els Indians;813;888
2011-2015;9;Sant Andreu;63;Navas;821;894
2011-2015;10;Sant Martí;64;el Camp de l'Arpa del Clot;82;876
2011-2015;10;Sant Martí;65;el Clot;82;888
2011-2015;10;Sant Martí;66;el Parc i la Llacuna del Poblenou;803;861
2011-2015;10;Sant Martí;68;el Poblenou;798;872
2011-2015;10;Sant Martí;69;Diagonal Mar i el Front Marítim del Poblenou;833;875
2011-2015;10;Sant Martí;70;el Besòs i el Maresme;80;874
2011-2015;10;Sant Martí;71;Provençals del Poblenou;813;88
2011-2015;10;Sant Martí;72;Sant Martí de Provençals;802;875
2011-2015;10;Sant Martí;73;la Verneda i la Pau;807;874
2012-2016;1;Ciutat Vella;1;el Raval;773;857
2012-2016;1;Ciutat Vella;2;el Barri Gòtic;788;869
2012-2016;1;Ciutat Vella;3;la Barceloneta;763;842
2012-2016;1;Ciutat Vella;4;Sant Pere, Santa Caterina i la Ribera;789;856
2012-2016;2;Eixample;5;el Fort Pienc;822;863
